returned,price,discount_pct,shipping_days,late_delivery,category,device,membership,prior_returns,prior_purchases,region
0,94.66,0.03,1,0,Home,Mobile,Silver,0,3,S
0,41.43,0.22,4,1,Shoes,Mobile,None,0,8,MW
1,192.09,0.17,3,0,Electronics,Mobile,None,1,5,NE
1,69.57,0.09,1,1,Home,Mobile,Silver,1,8,NE
0,20.67,0.26,3,0,Beauty,Desktop,Gold,1,2,MW
1,201.34,0.19,5,0,Electronics,Mobile,Silver,0,6,S
0,93.98,0.21,2,0,Shoes,Mobile,Gold,0,8,S
0,62.23,0.13,3,0,Home,Mobile,None,0,6,S
1,162.9,0,3,0,Electronics,Desktop,None,1,3,NE
1,142.53,0.13,4,0,Home,Mobile,None,1,4,West
0,283.71,0.12,5,0,Electronics,Mobile,None,1,1,West
0,33.17,0.22,3,0,Beauty,Desktop,None,0,6,S
0,27.81,0.02,3,0,Beauty,Desktop,Silver,0,5,S
0,27.7,0.27,5,0,Apparel,Mobile,None,0,0,West
0,106.13,0.09,1,1,Electronics,Desktop,Gold,0,20,NE
0,21.56,0.32,1,0,Apparel,Mobile,Silver,0,4,MW
1,45.24,0.17,4,0,Apparel,Mobile,Silver,0,3,NE
0,111.56,0.17,2,0,Home,Desktop,Silver,0,3,NE
1,156.27,0.35,3,0,Shoes,Desktop,None,0,5,MW
0,49.86,0.18,2,0,Apparel,Mobile,Gold,0,10,MW
1,84.51,0.12,5,1,Apparel,Desktop,None,0,0,S
1,187.81,0.05,2,0,Electronics,Mobile,Silver,0,7,S
0,42.37,0,2,1,Apparel,Desktop,None,0,1,NE
0,27.04,0.33,3,0,Beauty,Desktop,None,1,3,NE
0,48.52,0.33,5,1,Apparel,Desktop,Gold,0,13,West
0,390.33,0.14,2,0,Electronics,Mobile,Silver,0,7,NE
0,118.95,0.14,2,0,Home,Mobile,Gold,0,2,S
0,37,0.19,2,0,Apparel,Desktop,None,0,1,NE
0,31.88,0.07,1,0,Apparel,Desktop,Gold,0,3,S
1,100.87,0.14,2,0,Shoes,Mobile,Gold,1,6,NE
0,138.07,0.15,3,0,Home,Mobile,Gold,1,3,MW
0,59.12,0.29,4,0,Apparel,Desktop,Silver,0,8,MW
0,53.25,0.2,3,0,Apparel,Desktop,None,1,9,West
0,169.51,0.18,3,0,Electronics,Desktop,None,0,5,West
0,201.37,0.2,3,0,Electronics,Mobile,None,0,2,West
0,91.27,0.12,4,1,Apparel,Mobile,Gold,0,1,S
0,186.95,0,3,1,Electronics,Mobile,None,0,5,MW
1,72.3,0.28,3,1,Apparel,Mobile,Gold,1,12,MW
1,273.8,0.19,5,1,Home,Mobile,Silver,1,4,West
0,62.41,0.26,3,1,Shoes,Mobile,None,0,6,West
0,172.87,0.15,1,0,Electronics,Mobile,None,0,1,S
0,66.35,0.14,2,0,Apparel,Mobile,None,0,0,MW
0,81.83,0.18,1,0,Home,Mobile,Gold,0,4,NE
0,98.16,0.27,3,0,Home,Mobile,Silver,0,2,S
1,81.89,0.32,1,0,Shoes,Desktop,Silver,0,0,MW
0,31.04,0.19,3,0,Beauty,Desktop,None,0,3,S
1,117.63,0.12,5,0,Home,Mobile,Gold,1,11,S
0,50.25,0.22,3,0,Apparel,Mobile,None,0,0,NE
0,242.63,0.1,1,0,Electronics,Mobile,Gold,4,63,West
1,38.12,0.28,4,1,Beauty,Desktop,None,0,4,NE
0,86.22,0.36,4,0,Shoes,Desktop,Silver,0,4,West
1,357.4,0.09,4,1,Electronics,Mobile,Silver,1,11,S
0,169.76,0.04,5,0,Shoes,Desktop,None,0,3,NE
1,26.09,0.26,5,0,Apparel,Mobile,None,0,3,West
0,432.38,0.03,3,0,Electronics,Mobile,Gold,3,18,S
1,29.45,0.31,4,0,Apparel,Mobile,Gold,0,4,S
0,97.81,0.2,4,0,Shoes,Mobile,None,0,3,S
1,194.47,0.23,1,0,Electronics,Desktop,None,0,2,NE
1,44.61,0.4,7,1,Beauty,Mobile,None,1,4,S
0,45.76,0.12,3,0,Apparel,Desktop,Silver,0,3,S
0,71.02,0.21,2,0,Beauty,Desktop,Silver,0,6,NE
0,42.63,0.26,3,0,Apparel,Mobile,Gold,1,8,S
0,187.33,0.14,1,0,Electronics,Mobile,Gold,0,11,NE
0,91.19,0.13,5,0,Home,Mobile,None,0,16,West
1,133.79,0.33,5,1,Home,Mobile,Silver,1,3,S
0,50.01,0.31,4,1,Beauty,Mobile,None,0,7,S
0,34.71,0.21,3,0,Beauty,Mobile,Silver,0,1,S
0,42.55,0.2,2,0,Beauty,Desktop,Silver,0,5,NE
1,64.98,0.33,6,1,Apparel,Mobile,Silver,0,14,MW
0,184.97,0.25,2,0,Home,Mobile,Silver,0,2,West
1,251.03,0.18,5,1,Electronics,Desktop,None,1,8,MW
1,49.8,0.06,4,0,Apparel,Mobile,Gold,0,6,S
0,32.68,0.26,5,0,Beauty,Desktop,Gold,1,21,S
0,66.87,0.23,3,0,Shoes,Desktop,Gold,0,4,S
0,70.64,0.12,2,0,Shoes,Desktop,Gold,0,0,West
0,73.44,0.26,3,0,Home,Mobile,None,0,0,NE
1,41.04,0.22,5,0,Beauty,Mobile,Silver,0,5,MW
0,37.79,0.32,4,1,Beauty,Desktop,Gold,0,25,West
0,100.51,0.14,5,0,Home,Mobile,None,0,8,West
0,368.55,0.16,4,0,Electronics,Mobile,None,0,3,MW
0,24.04,0.29,4,0,Beauty,Mobile,None,0,3,S
0,24.49,0.26,1,0,Beauty,Mobile,Silver,0,4,NE
0,240.43,0.12,6,1,Electronics,Desktop,None,0,0,S
1,29.74,0.26,4,0,Apparel,Desktop,None,0,2,S
0,101.45,0.17,1,0,Home,Mobile,Silver,1,4,MW
0,29.95,0.2,3,0,Apparel,Desktop,Gold,1,15,S
0,133.99,0.21,2,0,Home,Desktop,Silver,0,6,MW
0,289.81,0.06,3,0,Electronics,Desktop,None,0,4,West
1,31.42,0.22,1,0,Beauty,Mobile,Gold,0,2,S
1,38.41,0.22,4,0,Apparel,Mobile,Silver,0,10,West
1,69.58,0.32,3,1,Apparel,Mobile,None,0,2,S
0,87.24,0.07,4,0,Home,Desktop,None,0,2,S
0,23.39,0.29,4,1,Beauty,Desktop,None,0,5,MW
0,246.29,0.09,3,0,Electronics,Desktop,Silver,0,3,MW
0,27.27,0.32,2,0,Apparel,Desktop,None,0,2,NE
0,32.01,0.25,1,1,Beauty,Mobile,Silver,1,2,MW
0,165.06,0.05,3,0,Electronics,Desktop,Gold,0,9,West
0,32.83,0.27,3,0,Beauty,Mobile,Silver,0,5,West
0,24.65,0.22,2,0,Beauty,Desktop,Gold,0,16,NE
0,176.95,0.02,5,1,Electronics,Mobile,None,2,2,West
0,67.93,0.25,2,1,Home,Mobile,Silver,0,5,S
1,278.17,0.18,3,1,Electronics,Desktop,Silver,0,1,S
0,34.63,0.2,4,1,Apparel,Desktop,Gold,0,6,West
0,42.47,0.2,3,0,Beauty,Desktop,Silver,1,14,MW
0,37.98,0.19,5,0,Beauty,Desktop,Gold,0,5,NE
0,73.73,0.11,3,0,Apparel,Desktop,Gold,4,18,S
0,232.77,0.16,4,0,Electronics,Mobile,Gold,0,9,West
1,50.18,0.08,4,1,Shoes,Mobile,Silver,0,3,S
0,64.98,0.28,4,1,Apparel,Mobile,None,0,1,S
0,38.21,0.14,3,0,Apparel,Mobile,None,0,1,NE
0,235.23,0.2,2,0,Electronics,Mobile,Silver,0,4,NE
1,131.98,0.18,4,1,Shoes,Mobile,Silver,0,4,S
0,184.19,0.17,5,0,Home,Desktop,None,0,6,West
0,95.38,0.17,4,0,Home,Mobile,None,0,2,S
0,179.43,0.23,4,1,Home,Desktop,None,0,1,NE
0,76.72,0.27,3,0,Home,Desktop,Gold,0,3,S
0,96.05,0.1,3,0,Apparel,Mobile,None,0,6,West
0,24.26,0.17,3,0,Beauty,Mobile,None,1,5,S
1,103.71,0.24,4,0,Home,Mobile,None,0,4,S
0,136.49,0.04,2,0,Home,Mobile,None,0,4,S
0,97.56,0.37,2,0,Home,Desktop,Gold,0,5,West
0,120.14,0.13,1,0,Shoes,Desktop,Silver,0,6,S
0,182.18,0,1,0,Home,Desktop,None,0,3,NE
0,33.58,0.15,3,0,Shoes,Desktop,Gold,0,12,West
1,40.12,0.24,2,0,Beauty,Mobile,Gold,0,9,MW
1,121.16,0.08,7,1,Home,Mobile,Gold,1,10,West
1,38.27,0.31,4,1,Apparel,Mobile,None,0,1,NE
1,84.07,0.15,3,0,Home,Desktop,None,0,5,S
0,70.75,0.12,4,1,Home,Mobile,Gold,0,10,S
1,135.19,0.04,3,1,Electronics,Desktop,Gold,2,10,NE
0,76.05,0.21,2,0,Home,Mobile,Silver,0,8,S
0,82.94,0.29,2,0,Apparel,Mobile,Gold,2,19,MW
0,59.51,0.36,1,0,Apparel,Desktop,Gold,1,11,NE
1,52.38,0.25,4,1,Apparel,Mobile,Gold,3,10,S
0,50.65,0.07,4,0,Shoes,Mobile,Gold,0,1,NE
0,156.51,0.1,1,0,Home,Desktop,Gold,0,10,S
0,40.09,0.14,4,0,Beauty,Mobile,Gold,0,2,NE
1,25.33,0.19,1,1,Apparel,Mobile,Gold,0,25,MW
0,233.98,0.05,1,0,Electronics,Desktop,Gold,0,8,NE
0,78.28,0.2,2,0,Home,Desktop,Gold,2,22,NE
0,94.92,0.26,1,0,Beauty,Desktop,None,0,2,MW
0,206.35,0.03,3,0,Electronics,Desktop,Gold,2,7,S
0,29.65,0.2,3,1,Beauty,Mobile,Gold,0,9,West
0,69.75,0.1,3,1,Shoes,Desktop,Gold,1,4,West
0,94,0.29,1,0,Home,Desktop,Silver,0,5,MW
0,79.73,0.43,1,0,Apparel,Mobile,Gold,0,9,MW
0,115.26,0.11,2,0,Home,Desktop,Silver,0,0,NE
0,43.58,0.21,2,0,Apparel,Mobile,None,0,3,S
0,199.13,0,4,0,Electronics,Desktop,Silver,0,10,West
0,49.41,0.02,3,0,Apparel,Mobile,None,3,3,MW
0,42.84,0.34,4,0,Apparel,Mobile,Gold,0,3,S
1,126.61,0.24,2,0,Home,Mobile,None,0,3,MW
0,196.75,0.18,3,1,Electronics,Mobile,Silver,1,4,MW
0,154.34,0.14,3,0,Home,Mobile,Silver,0,3,S
0,106.82,0.08,3,0,Home,Mobile,Gold,1,18,West
1,127.04,0.22,3,0,Shoes,Desktop,Gold,0,28,West
0,198.79,0.18,3,0,Electronics,Desktop,None,0,1,NE
0,44.5,0.14,2,0,Apparel,Mobile,Gold,0,12,S
1,107.11,0.17,4,0,Home,Desktop,Gold,0,3,West
0,96.91,0.15,4,1,Home,Desktop,Silver,0,0,West
1,215.38,0.08,5,1,Electronics,Desktop,None,0,1,MW
1,48.89,0.21,4,1,Apparel,Mobile,Gold,0,6,S
1,160.14,0.1,5,0,Electronics,Desktop,None,0,0,West
1,152.41,0.16,4,0,Shoes,Mobile,None,0,2,MW
1,70.86,0.2,4,1,Shoes,Desktop,Silver,1,11,S
1,57.31,0.21,4,0,Shoes,Desktop,None,0,5,NE
1,69.33,0.18,3,1,Beauty,Desktop,None,0,1,S
0,134.91,0,3,0,Home,Desktop,Gold,3,23,West
0,34.49,0.17,3,0,Apparel,Desktop,Silver,0,3,S
1,146.44,0.03,2,1,Home,Desktop,None,0,2,West
0,151.09,0.23,1,0,Home,Desktop,Gold,0,7,NE
0,357.06,0,3,0,Electronics,Mobile,None,0,1,MW
0,77.05,0.19,2,0,Apparel,Mobile,Silver,0,7,MW
0,163.91,0.05,5,1,Electronics,Desktop,None,0,6,S
1,76.59,0.18,2,1,Shoes,Desktop,Silver,0,9,MW
0,240.11,0,4,0,Electronics,Mobile,Silver,1,6,MW
0,42.45,0,4,0,Apparel,Desktop,None,0,8,West
0,257.49,0.17,5,0,Home,Desktop,None,0,2,West
0,312.08,0.07,3,0,Electronics,Mobile,Silver,0,7,S
