species_id,weight
DM,40
DM,48
DM,29
DM,46
DM,36
DO,52
PF,8
OX,22
DM,35
PF,7
DM,22
PF,9
DM,42
PF,8
DM,41
DM,37
DM,43
DM,41
DM,40
PF,9
DM,45
PP,15
DM,29
DM,39
DM,42
DM,43
DM,46
DM,41
DM,41
DM,40
DM,45
DM,46
DM,40
DM,30
DM,39
DM,34
DM,42
DM,42
PF,8
DM,31
DM,40
DM,37
DM,48
DM,42
DM,45
PP,16
DM,36
DM,42
DM,44
DM,41
PF,8
DM,40
DM,34
DM,40
OX,20
DM,44
DM,44
DM,36
DM,33
DM,46
DM,35
DM,46
DM,37
DM,34
DM,45
PF,7
DM,51
DM,39
DM,29
DM,48
DM,46
DM,41
DM,45
DM,42
DM,53
DM,49
DM,46
PF,9
PP,15
PF,4
DM,48
DM,51
DM,50
DM,44
DM,44
DM,45
DM,45
PE,19
OX,22
DM,44
DM,42
DM,39
DM,47
OT,21
DM,42
DM,49
DM,39
DM,43
DM,50
DM,41
DM,47
DM,37
DM,41
DM,36
DM,45
PE,20
DM,40
DM,49
DM,55
DM,46
DM,38
DM,44
OL,21
DM,41
OL,21
DM,46
DM,36
DM,44
DM,53
DM,41
DM,48
DM,47
DO,33
DM,42
DO,50
DM,41
OT,21
DM,49
DM,44
DM,31
DM,40
DM,40
DM,23
DM,42
RM,13
DM,42
DM,31
DM,39
DM,48
DO,48
DM,29
DM,45
DM,39
OL,23
DO,31
DM,43
DM,43
PF,8
DM,45
DM,40
DO,41
DM,41
DM,39
DM,25
DM,45
DM,36
DM,40
DM,44
DM,47
DM,40
DM,44
DO,44
DS,117
PF,7
DM,40
DM,39
DM,40
DS,121
DM,46
DM,35
DS,115
PF,7
DM,39
DM,40
DM,40
DM,35
DM,36
DM,44
PF,6
PF,7
DS,120
DO,48
DM,44
DM,38
DS,118
DM,40
DS,126
DM,37
DS,132
DM,39
DS,113
PF,7
DS,122
DS,107
DM,43
DM,40
RM,7
DS,115
DM,39
DM,40
DS,116
PF,6
DM,38
DS,137
DM,42
DS,126
DS,112
DO,39
DM,41
DM,48
DS,121
DM,42
DM,42
DM,52
DM,38
DM,45
DM,37
DO,40
DM,38
PF,7
DM,44
PF,7
DM,33
DM,38
DM,47
DM,39
PF,7
DM,42
DM,36
DM,44
DS,116
DM,43
DO,45
DS,116
DM,42
DM,38
DS,114
DM,41
DM,40
DS,134
DS,139
DS,118
DO,41
DM,37
PF,6
DS,127
PF,6
DS,120
DS,115
DM,40
DS,114
DM,37
DM,46
DS,149
DM,38
DS,127
DM,36
DM,41
DM,44
DS,138
DS,110
DS,110
DM,37
PF,7
DS,121
DM,43
DM,43
DM,44
DM,36
PF,8
DM,38
DS,122
PF,7
DO,42
DM,46
PE,22
DM,38
DM,48
PF,7
DM,43
DM,35
DM,43
DM,36
DS,117
DM,37
DS,122
DM,43
DM,42
PF,7
DM,45
DM,40
DM,37
DS,117
DM,40
DM,40
DS,132
DM,36
DS,150
DM,44
DM,40
DS,126
DS,122
DS,136
DS,116
DM,38
DM,39
DS,135
DM,46
DS,133
DS,136
DS,141
DM,38
DM,35
DS,135
DM,33
DM,51
DS,122
DM,33
DM,47
DM,49
DM,46
DM,45
DM,41
OT,24
DS,157
DM,51
NL,218
DM,38
PF,7
DM,45
DM,52
DM,50
DM,51
DS,126
DM,39
OT,24
OT,23
DM,40
DM,41
DM,46
OT,25
PE,25
DM,39
DM,42
DM,39
OT,23
DS,124
DS,114
DM,44
DM,48
DM,44
DS,132
DS,137
DM,39
DM,56
OL,35
NL,197
OT,22
OT,25
DS,154
DM,49
DM,44
DM,35
DM,36
DM,39
DS,133
DM,50
DM,43
DM,40
DM,45
DM,44
NL,228
DS,144
DM,46
DM,48
PF,7
DM,45
PF,8
DS,133
DM,40
NL,232
DS,128
DS,153
OT,22
OT,21
DM,53
PF,8
OT,25
DM,43
DM,43
OL,38
DM,42
OT,26
DS,146
OT,25
PE,28
PF,8
PE,29
DS,122
DS,137
DS,131
DS,125
DM,43
DS,69
DS,141
DS,138
DM,43
DS,124
DM,43
DM,45
DM,46
DM,43
DM,49
DM,47
OT,26
DS,152
DM,44
DM,48
OT,29
DM,44
DM,49
DM,45
DM,51
DO,57
DS,134
DM,44
OL,30
OT,35
DM,48
DS,146
DM,37
DM,46
DS,110
DM,26
DM,44
DM,48
DM,39
DM,44
DM,45
OT,27
DM,36
DM,51
DM,45
DM,47
DS,90
OT,23
DM,49
DS,131
DS,114
DM,42
DS,148
DS,76
DS,141
DM,42
DS,121
DM,44
DO,55
DS,133
DS,142
DS,142
DM,46
DM,50
DS,142
DS,84
DM,42
DS,142
DS,118
DM,43
DS,132
DS,75
DM,49
DS,168
DM,43
DS,84
DS,87
DS,117
DM,42
DM,41
DS,140
DM,40
DM,45
NL,225
OT,18
DM,47
DM,48
DS,89
DM,51
PF,8
DM,47
DS,149
DS,124
DS,73
DM,48
DS,139
DM,41
DS,123
DM,41
DS,114
DS,59
NL,204
DS,90
DM,45
NL,212
DM,43
DS,91
DS,50
DM,44
DS,113
DM,36
DS,90
DM,50
OT,9
OL,29
DS,137
DS,57
DS,121
DM,31
DM,41
DM,37
DS,83
NL,174
DS,116
DS,74
DS,130
DM,40
NL,212
DM,41
DS,83
DM,48
DM,41
DS,118
PM,22
DS,102
DM,42
NL,182
DM,29
DM,23
DS,138
DS,131
DM,41
DS,115
DS,121
DM,38
DS,126
DS,120
PP,15
DM,29
DM,43
DM,41
DS,68
DS,83
DS,97
DM,21
DM,21
DM,44
DO,18
DM,40
DM,41
DS,129
DS,148
DM,42
DM,41
OT,24
DS,108
DS,160
OT,30
DO,54
PF,7
DS,125
DS,100
DM,21
DM,49
DM,35
DO,37
DS,64
DS,131
DS,54
DM,44
DS,90
DM,39
PP,13
DS,114
DS,90
DM,46
DS,110
DS,119
DM,29
DM,48
DS,124
DS,84
DM,43
DM,43
DM,40
DS,120
DO,55
OL,29
DM,26
DS,115
DM,45
DS,70
DS,123
DM,16
DM,42
DS,125
DM,19
DO,55
DS,117
DS,133
DM,36
DS,71
DM,29
DS,99
PF,7
PF,8
DM,39
NL,135
DS,94
DS,100
DS,98
