dept_abbr,course,ucla_new,amaz_new,diff
Am Ind, C170,27.67,27.95,-0.28
Anthro,9,40.59,31.14,9.45
Anthro,135T,31.68,32,-0.32
Anthro,191HB,16,11.52,4.48
Art His,M102K,18.95,14.21,4.74
Art His,118E,14.95,10.17,4.78
Asia Am,187B,24.7,20.06,4.64
Asia Am,191E,19.5,16.66,2.84
Ch Engr,C125,123.84,106.25,17.59
Chicano,M145B,17,13.26,3.74
Chin,174,31.63,29.95,1.68
Com Sci,180,116,88.09,27.91
Comm Lit,290,27.67,18.45,9.22
Comm St,10,24.7,16.47,8.23
Comptng,20A,126.67,97.38,29.29
E&S Sci,7,53.9,47.51,6.39
E&S Sci,101,89.73,74.93,14.8
Econ,101,171,132.77,38.23
El Engr,2,152,121.5,30.5
El Engr,176,124.8,108,16.8
Engl,M104C,16,11.67,4.33
Engl,151,25.95,18.94,7.01
Engl,180,18,12.24,5.76
Engl,M260A,21.73,21.95,-0.22
Engr,183EW,40.59,31.14,9.45
ESL,38A,28.95,28.95,0
Frnch,120,19.95,16.15,3.8
Geog,232,49.45,37.75,11.7
German,57,41.09,31.78,9.31
Greek,130,50.95,32.97,17.98
Hist,97F,44.5,30.87,13.63
Hist,201B,82.45,85,-2.55
Hist,201L,34.6,34.95,-0.35
Hlt Ser,M422,88.42,97.95,-9.53
Hlt Ser,437,84,81.18,2.82
Hnrs,37,11.25,9.5,1.75
Hnrs,M106,15,10.2,4.8
Lifesci,2,180.03,134.69,45.34
Mat Sci,104,174,143.75,30.25
Math,151A,188.58,176,12.58
Mgmt,1A,146.75,150.63,-3.88
Mgmt,124,183.75,145.4,38.35
Mgmt,127B,214.5,173.56,40.94
Mgmt,228,197,131,66
Mgmt,231D,194,157.68,36.32
Mgmt,263A,176.25,137.17,39.08
Mus His,191G,24.7,24.95,-0.25
Physics,6A,188,159.28,28.72
Pol Sci,10,29.7,23.07,6.63
Pol Sci,120B,26.24,21.04,5.2
Pol Sci,M132B,55.13,42.68,12.45
Pol Sci,171C,43.56,39.37,4.19
Pol Sci,200C,129.6,85.2,44.4
Psych,10,123.84,93.13,30.71
Psych,134A,85.12,67.4,17.72
Psych,263,152.48,132.79,19.69
Russian,90B,29.7,24.31,5.39
Soc Gen,102W,24.7,24.95,-0.25
Soc Wlf,M104D,89.71,85.45,4.26
Sociol,180A,10.5,10.08,0.42
Span,105,92.88,65.73,27.15
Span,115,100.88,84.26,16.62
Stat,98T,11.95,8.6,3.35
Stat,C180,72.47,58.42,14.05
Stat,200C,92.1,80.37,11.73
Stat,C216,78.35,64.09,14.26
Urbn Pl,M275,42,37.04,4.96
Wld Art,C139,18.75,20.21,-1.46
Wld Art,C180,48.46,39.34,9.12
Wld Art,C409A,39.55,26.37,13.18
Wld Art,495,29.65,24.19,5.46
Wom Std,M144,23.76,18.72,5.04
Wom Std,285,27.7,18.22,9.48
