record_id,year,species_id,species,plot_id,plot_type,sex,weight
63,1977,DM,merriami,3,Long-term Krat Exclosure,M,40
64,1977,DM,merriami,7,Rodent Exclosure,M,48
65,1977,DM,merriami,4,Control,F,29
66,1977,DM,merriami,4,Control,F,46
67,1977,DM,merriami,7,Rodent Exclosure,M,36
68,1977,DO,ordii,8,Control,F,52
71,1977,DM,merriami,7,Rodent Exclosure,F,35
75,1977,DM,merriami,8,Control,F,22
79,1977,DM,merriami,7,Rodent Exclosure,F,42
82,1977,DM,merriami,4,Control,F,41
83,1977,DM,merriami,6,Short-term Krat Exclosure,F,37
84,1977,DM,merriami,19,Long-term Krat Exclosure,F,43
85,1977,DM,merriami,23,Rodent Exclosure,F,41
86,1977,DM,merriami,18,Short-term Krat Exclosure,F,40
88,1977,DM,merriami,18,Short-term Krat Exclosure,F,45
90,1977,DM,merriami,18,Short-term Krat Exclosure,M,29
92,1977,DM,merriami,6,Short-term Krat Exclosure,M,39
93,1977,DM,merriami,18,Short-term Krat Exclosure,NA,42
94,1977,DM,merriami,18,Short-term Krat Exclosure,F,43
95,1977,DM,merriami,23,Rodent Exclosure,M,46
96,1977,DM,merriami,12,Control,M,41
97,1977,DM,merriami,18,Short-term Krat Exclosure,M,41
98,1977,DM,merriami,5,Rodent Exclosure,M,40
99,1977,DM,merriami,11,Control,M,45
101,1977,DM,merriami,5,Rodent Exclosure,F,46
102,1977,DM,merriami,23,Rodent Exclosure,F,40
103,1977,DM,merriami,18,Short-term Krat Exclosure,F,30
105,1977,DM,merriami,19,Long-term Krat Exclosure,M,39
109,1977,DM,merriami,6,Short-term Krat Exclosure,M,34
111,1977,DM,merriami,11,Control,F,42
112,1977,DM,merriami,23,Rodent Exclosure,M,42
116,1977,DM,merriami,13,Short-term Krat Exclosure,F,31
146,1977,DM,merriami,13,Short-term Krat Exclosure,F,40
157,1977,DM,merriami,20,Short-term Krat Exclosure,M,37
158,1977,DM,merriami,22,Control,M,48
161,1977,DM,merriami,5,Rodent Exclosure,M,42
162,1977,DM,merriami,6,Short-term Krat Exclosure,F,45
164,1977,DM,merriami,22,Control,F,36
167,1977,DM,merriami,6,Short-term Krat Exclosure,M,42
168,1977,DM,merriami,12,Control,M,44
170,1977,DM,merriami,20,Short-term Krat Exclosure,F,41
173,1977,DM,merriami,12,Control,F,40
174,1977,DM,merriami,12,Control,M,34
175,1977,DM,merriami,19,Long-term Krat Exclosure,M,40
178,1977,DM,merriami,18,Short-term Krat Exclosure,M,44
179,1977,DM,merriami,12,Control,M,44
180,1977,DM,merriami,6,Short-term Krat Exclosure,M,36
181,1977,DM,merriami,20,Short-term Krat Exclosure,M,33
183,1977,DM,merriami,5,Rodent Exclosure,F,46
186,1977,DM,merriami,19,Long-term Krat Exclosure,F,35
187,1977,DM,merriami,17,Control,M,46
189,1977,DM,merriami,17,Control,F,37
190,1977,DM,merriami,7,Rodent Exclosure,M,34
192,1977,DM,merriami,4,Control,F,45
197,1977,DM,merriami,14,Control,M,51
198,1977,DM,merriami,4,Control,M,39
199,1977,DM,merriami,11,Control,M,29
202,1977,DM,merriami,17,Control,F,48
203,1977,DM,merriami,11,Control,M,46
204,1977,DM,merriami,16,Rodent Exclosure,F,41
208,1977,DM,merriami,14,Control,M,45
209,1977,DM,merriami,17,Control,F,42
210,1977,DM,merriami,11,Control,F,53
213,1977,DM,merriami,14,Control,F,49
215,1977,DM,merriami,14,Control,F,46
219,1977,DM,merriami,13,Short-term Krat Exclosure,M,48
226,1977,DM,merriami,2,Control,M,51
228,1977,DM,merriami,9,Spectab exclosure,M,50
229,1977,DM,merriami,13,Short-term Krat Exclosure,M,44
233,1977,DM,merriami,2,Control,M,44
234,1977,DM,merriami,9,Spectab exclosure,M,45
235,1977,DM,merriami,13,Short-term Krat Exclosure,F,45
243,1977,DM,merriami,6,Short-term Krat Exclosure,F,44
244,1977,DM,merriami,22,Control,F,42
245,1977,DM,merriami,2,Control,M,39
246,1977,DM,merriami,13,Short-term Krat Exclosure,M,47
249,1977,DM,merriami,13,Short-term Krat Exclosure,M,42
251,1977,DM,merriami,2,Control,M,49
253,1977,DM,merriami,20,Short-term Krat Exclosure,M,39
254,1977,DM,merriami,20,Short-term Krat Exclosure,F,43
255,1977,DM,merriami,18,Short-term Krat Exclosure,M,50
256,1977,DM,merriami,6,Short-term Krat Exclosure,M,41
257,1977,DM,merriami,2,Control,M,47
258,1977,DM,merriami,18,Short-term Krat Exclosure,F,37
259,1977,DM,merriami,2,Control,M,41
260,1977,DM,merriami,22,Control,F,36
261,1977,DM,merriami,6,Short-term Krat Exclosure,M,45
263,1977,DM,merriami,1,Spectab exclosure,M,40
265,1977,DM,merriami,9,Spectab exclosure,M,49
268,1977,DM,merriami,2,Control,F,55
269,1977,DM,merriami,6,Short-term Krat Exclosure,M,46
270,1977,DM,merriami,1,Spectab exclosure,F,38
273,1977,DM,merriami,9,Spectab exclosure,M,44
275,1977,DM,merriami,20,Short-term Krat Exclosure,M,41
280,1977,DM,merriami,18,Short-term Krat Exclosure,M,46
283,1977,DM,merriami,6,Short-term Krat Exclosure,M,36
284,1977,DM,merriami,13,Short-term Krat Exclosure,M,44
285,1977,DM,merriami,1,Spectab exclosure,M,53
287,1977,DM,merriami,17,Control,M,41
288,1977,DM,merriami,17,Control,M,48
289,1977,DM,merriami,14,Control,M,47
292,1977,DO,ordii,3,Long-term Krat Exclosure,F,33
293,1977,DM,merriami,4,Control,F,42
294,1977,DO,ordii,3,Long-term Krat Exclosure,F,50
295,1977,DM,merriami,11,Control,M,41
298,1977,DM,merriami,19,Long-term Krat Exclosure,M,49
302,1977,DM,merriami,19,Long-term Krat Exclosure,F,44
303,1977,DM,merriami,3,Long-term Krat Exclosure,M,31
304,1977,DM,merriami,21,Long-term Krat Exclosure,M,40
305,1977,DM,merriami,14,Control,F,40
306,1977,DM,merriami,16,Rodent Exclosure,M,23
307,1977,DM,merriami,19,Long-term Krat Exclosure,M,42
312,1977,DM,merriami,11,Control,F,42
313,1977,DM,merriami,19,Long-term Krat Exclosure,M,31
315,1977,DM,merriami,3,Long-term Krat Exclosure,M,39
316,1977,DM,merriami,15,Long-term Krat Exclosure,M,48
317,1977,DO,ordii,17,Control,F,48
318,1977,DM,merriami,17,Control,M,29
319,1977,DM,merriami,14,Control,M,45
320,1977,DM,merriami,17,Control,F,39
323,1977,DO,ordii,17,Control,F,31
328,1977,DM,merriami,16,Rodent Exclosure,F,43
330,1977,DM,merriami,5,Rodent Exclosure,M,43
