record_id,sex,hindfoot_length,weight
29024,F,33,41
29025,F,35,52
29026,M,35,52
29036,M,36,44
29037,M,37,47
29041,F,35,41
29043,F,36,46
29044,M,36,38
29046,F,36,41
29047,M,37,46
29048,M,38,41
29049,M,36,39
29061,F,33,40
29063,M,35,46
29064,F,36,46
29065,F,36,46
29066,F,36,39
29067,M,36,41
29068,M,35,44
29069,M,35,36
29070,F,35,42
29072,M,35,40
29073,M,37,48
29077,F,33,46
29098,F,36,45
29099,M,36,50
29100,M,35,37
29101,F,36,42
29102,M,37,45
29104,M,35,40
29105,F,35,41
29106,F,36,43
29107,M,36,48
29117,M,36,42
29118,F,35,41
29120,M,36,43
29121,M,36,41
29122,M,37,45
29123,M,37,52
29124,M,35,41
29125,M,35,53
29127,M,33,43
29129,F,34,40
29130,M,37,40
29132,F,36,43
29134,M,35,40
29138,F,37,49
29139,F,37,44
29143,F,36,41
29144,F,35,44
29149,M,38,58
29150,F,34,49
29151,F,35,48
29152,M,36,40
29153,M,37,46
29157,F,33,41
29158,F,37,38
29159,F,33,44
29160,M,36,47
29163,F,37,46
29165,M,35,51
29168,M,37,50
29175,F,36,52
29176,M,37,47
29178,F,35,45
29179,M,35,46
29181,F,36,42
29182,M,37,53
29183,M,38,46
29184,M,36,42
29186,F,35,41
29193,M,21,25
29202,M,37,47
29204,F,35,39
29205,F,34,41
29208,M,36,39
29209,F,36,47
29211,M,38,44
29217,M,34,45
29219,M,36,50
29221,M,36,47
29223,F,34,46
29225,F,36,45
29226,M,37,50
29228,M,35,39
29239,M,37,48
29240,M,35,50
29242,F,35,39
29243,F,36,46
29244,M,37,45
29245,M,36,42
29246,M,35,45
29247,M,35,38
29248,M,39,49
29249,F,36,42
29250,F,35,42
29252,F,37,46
29254,M,33,33
29259,M,37,40
29260,F,34,47
29262,M,37,48
29263,F,38,45
29264,M,36,42
29266,F,35,47
29267,M,36,49
29268,M,38,53
29270,M,36,42
29272,F,35,40
29274,F,35,51
29281,F,37,42
29282,M,36,54
29284,M,36,49
29285,M,37,49
29286,F,37,44
29287,M,37,53
29288,F,37,46
29290,F,36,48
29291,M,38,56
29293,M,37,47
29302,F,36,46
29304,F,35,43
29305,F,37,40
29308,M,36,51
29311,M,36,27
29315,F,36,45
29317,M,37,48
29318,M,37,41
29320,F,36,44
29323,M,36,46
29325,F,36,45
29326,M,35,49
29327,M,38,53
29329,M,36,47
29341,F,34,41
29342,M,37,48
29344,M,36,43
29345,F,35,46
29346,F,35,41
29351,M,36,51
29352,M,35,48
29356,M,37,48
29357,M,36,46
29359,F,36,47
29361,F,34,47
29363,M,37,50
29365,M,37,50
29366,M,35,38
29376,F,36,47
29377,M,37,48
29378,F,36,40
29379,M,34,50
29380,F,36,46
29381,M,35,45
29382,F,34,42
29384,M,38,51
29387,F,37,42
29389,M,36,45
29390,F,36,45
29391,M,37,46
29392,F,34,43
29399,F,37,46
29400,M,37,46
29401,F,36,45
29402,M,36,52
29403,M,37,52
29404,F,36,45
29408,M,36,52
29411,F,36,47
29412,F,34,42
29415,M,37,57
29417,M,34,47
29419,M,36,49
29421,M,34,45
29426,F,35,41
29427,F,37,41
29431,M,37,48
29434,F,36,31
29440,M,37,44
29441,M,37,47
29442,M,37,46
29443,F,37,41
29445,M,37,43
29450,M,38,43
29451,F,32,44
29463,F,34,40
29464,M,34,19
29466,F,36,46
29468,M,36,42
29469,M,37,47
29470,F,34,39
29471,M,37,43
29473,M,36,44
29478,F,34,29
29481,M,37,33
29484,F,33,34
29485,M,34,45
29486,M,37,47
29487,F,37,44
29504,M,37,47
29505,F,37,43
29506,M,38,47
29507,M,36,48
29508,M,36,45
29509,F,35,46
29510,M,35,30
29511,F,35,43
29512,F,36,45
29513,M,35,45
29523,F,36,40
29524,M,36,40
29528,F,35,44
29530,M,35,42
29531,M,39,45
29532,M,37,41
29535,F,37,45
29536,M,38,49
29537,F,36,42
29545,F,36,39
29550,F,37,45
29551,M,38,49
29552,F,37,46
29553,M,36,22
29554,F,35,41
29558,F,34,47
29559,M,37,55
29561,M,38,45
29566,F,35,41
29567,F,36,47
29568,F,35,41
29577,M,37,46
29578,F,35,38
29580,M,36,44
29582,F,36,47
29584,F,37,35
29596,F,37,45
29597,M,36,26
29601,F,36,43
29602,F,35,41
29603,F,34,44
29613,F,35,37
29614,M,35,37
29615,F,38,46
29616,F,35,48
29617,M,37,51
29622,M,37,47
29638,M,37,39
29639,M,34,39
29640,F,36,46
29642,M,37,43
29650,M,36,42
29651,F,34,43
29653,M,37,42
29654,M,35,26
29656,F,37,43
29657,M,37,47
29658,M,36,27
29659,M,36,37
29661,M,37,53
29666,M,39,47
29670,M,35,25
29678,M,34,21
29679,F,35,44
29680,F,37,49
29692,M,36,44
29693,F,36,45
29694,M,33,29
29695,M,38,57
29697,F,37,44
29700,M,37,49
29704,F,34,42
29708,F,36,44
29709,F,37,36
29710,F,36,45
29712,M,37,47
29714,M,21,22
