annual_income,loan_amount
54,10000
37,20000
200,25000
67,4500
48,6000
80,10000
45,15000
55,10000
32,3000
56,12000
50,16000
140,28675
19.58209,10200
32,15000
22.8,10000
65,5075
45,10000
40,7000
40,10000
118.5,30000
53.574,10000
120,24775
34,10000
40,5000
65,7000
140,40000
90,35000
120,30000
85,30000
50,15000
64.721,6025
250,16000
163,28000
100,30000
100,13000
52,10000
64,20675
55,7000
95,16000
28,9000
54.75,30000
319,25975
45,8000
36,9000
110,40000
125,10000
175.5,20000
70,10000
108,35000
120,40000
43.26,10000
79,6000
70,28000
35,4000
80,18000
34,13500
60,10000
105,20000
95,6500
42,10000
50,8000
60,25000
97,32000
10,15000
80,9000
85,25000
189,21000
90,7800
81,40000
35,3000
68,13000
52,7000
90,3000
50,10000
300,18700
132.323,10000
43.2,10000
50,19000
75,25000
46,6000
85,6000
170,24725
100,18000
42.5856,12000
45,19200
60,5000
40,20000
68,7000
40,2000
50,14000
72,30000
50,7150
26,1500
62,20575
53.7,2500
73,30000
55,19000
35,15000
87,20000
130,5000
37,6500
82.048,35000
26,3200
56,21000
95,10000
170,4200
120,30000
155,10000
60,20000
65,15000
105,28000
66,21000
39.5,24000
55,10000
30,6000
50,6000
50,3200
45,20000
85,16000
200,30000
55,10000
33,3200
52,10000
96,40000
150,20000
80,25000
75,15000
155,16050
28,5000
40,13000
37,4475
40,10000
28.5,29450
30,20000
51,10000
22.212,5000
26,2000
61.88,10000
75,4800
51.6,20000
197,27000
140,35000
21.6,10000
35,5000
25,10000
112,26500
60,3600
111,26000
45,10000
35,5000
90,25000
75,21000
90,36000
70,13000
70,6000
49,4000
55,8800
50.4,10500
75,3000
67,12000
50,15000
59.3,18000
47,20000
60,10000
58,17500
114,20000
72,11200
96.82131,21600
36,15000
35.568,2400
19,35000
78,10000
48,3000
115,20000
103,35000
60,11500
60,7200
25.7,5000
55,6000
66,10000
95,11200
95,16000
71.5,20000
145,21000
33,13200
36.5,12000
95,10000
200,20000
48,11000
15,14400
90,40000
96,30000
122,28000
133,16000
33.6,16000
28.8,8300
60,40000
46.996,19350
52.537,7000
40,13000
48.75,4200
34,15000
90,12800
140,13000
42,15000
57,10000
300,36000
19,12000
120,5600
18.624,10000
75,20000
155,40000
60,11000
125,20000
112,4000
20,17600
33,1500
17,2700
55.7,15000
43.678,25000
46.128,24000
65,10000
75,10000
66,20000
105,22000
60.1,3150
61,7200
140,40000
45,15000
75,22000
300,15000
30,3200
60,12800
68,4000
51,20000
87.8,14000
127.563,27000
300,20000
100,40000
75,4000
180,32000
51,36000
130,30000
84,9000
55,16000
65,14400
75,20000
200,30000
50,6000
24,19000
75,12000
165,25000
46,4800
43,8000
127,36000
88,16000
135,9600
55,40000
148,29000
80,21000
70,20000
23.898,34800
53.456,19000
122,16000
37,5400
68,12000
48,12000
125,4000
136,25000
161,35000
20,14000
75,40000
185,20000
57,7000
24,12000
120,10000
72.768,4000
47,22000
65,9000
61,20000
117,9000
30.564,8000
120,20000
30,5000
64,10000
70,19500
45,5000
130,36000
60,15000
59,12000
61,25000
245,32175
74,5500
60,18375
65,24000
66,40000
106,5500
61,14000
110,16000
82,25000
33,22000
122,16000
66,15000
70,40000
40,8000
125,16000
65,17000
45,14000
75.696,20000
30,2000
93,39000
85,10000
48,19000
101,10000
36,18000
30,16000
48,20000
95,10000
70,20000
36,10000
18.348,2000
35,4800
65,30000
70,36000
110,40000
63,12000
58,3800
150,35000
19.25,3300
65,10200
108,40000
81,14000
104,37000
60,20000
155,10000
42,7200
85,32675
52,10000
48,30000
160,10000
17,11450
35,12000
23,13200
63,10000
90,3500
48,8000
84,25000
32,12000
70,12000
23.04,7500
135,40000
47.7,12000
60,20000
600,15000
20.076,22400
105,16000
50,12800
86,10000
42,30000
100,40000
104,35000
120,18000
180,35000
85,26575
25,10000
80,14000
65,3200
40,7550
75,9000
50,8800
65,30000
65,20000
57.6,20000
50,2500
59.7,10000
30,10000
36.4,15200
50,40000
30,15000
85,15000
69,20000
110,10000
50.22,35000
85,20000
75,4000
68,18000
108,24000
30,10000
34,15000
90,10000
60,11200
70,22050
92,10000
70,7200
35,20000
78,24000
60,10000
60,17150
58,10000
79.043,40000
