species,sex,flipper_length_mm,body_mass_g
Adelie,female,198,3825
Chinstrap,male,198,3700
Adelie,male,195,3900
Adelie,male,191,3800
Adelie,female,176,3450
Adelie,male,195,4250
Adelie,male,193,4200
Gentoo,female,210,4300
Adelie,male,193,4250
Gentoo,male,230,6050
Chinstrap,male,210,4800
Adelie,male,196,4075
Gentoo,male,222,5350
Gentoo,male,220,5300
Gentoo,male,231,5650
Gentoo,male,216,4750
Adelie,female,184,3475
Chinstrap,male,201,4050
Adelie,male,200,4050
Adelie,male,190,4250
Chinstrap,female,191,3250
Adelie,female,189,3500
Adelie,female,195,3450
Adelie,male,188,4300
Chinstrap,female,190,3400
Gentoo,male,225,5700
Adelie,male,195,4675
Gentoo,male,230,5550
Gentoo,male,216,5550
Gentoo,male,218,5700
Gentoo,male,218,5300
Gentoo,female,210,4200
Gentoo,female,212,4750
Adelie,male,181,3750
Adelie,female,191,3050
Gentoo,male,224,5550
Gentoo,female,212,5200
Gentoo,male,225,5400
Gentoo,male,220,6000
Gentoo,female,208,4300
