planet_name,orbital_period,semi_major_axis,planet_mass,planet_radius,stellar_mass,stellar_temp,equilibrium_temp,eccentricity,discovery_method
Kepler-5 b,3.5484657,0.0538,670.93913,15.984034,1.374,6297,1750,NA,Transit
HAT-P-7 b,2.20474,NA,584.8072,16.92559,1.56,6389,NA,0,Transit
Kepler-6 b,3.2346996,0.04852,212.31044,14.616536,1.209,5647,1460,NA,Transit
KOI-94 d,22.342989,0.1684,106,11.27,1.277,6182,806,0.022,Transit
Kepler-20 d,77.611455,0.3474,13.4,2.606,0.929,5495,430,0.082,Transit
Kepler-462 b,84.6866,NA,53.9,3,1.59,7500,NA,0.042,Transit
Kepler-79 d,52.0902,0.287,6,7.16,1.165,6174,NA,0.025,Transit
Kepler-106 e,43.8445,NA,11.17,2.56,1,5858,NA,NA,Transit
Kepler-111 c,224.77833,0.751,222.4798849,7.0840758,1.118,5914,352.2,0.176,Transit
Kepler-22 b,289.863876,0.812,9.1,2.1,0.857,5596,279,0.72,Transit
Kepler-117 c,50.790391,0.2804,584.78,12.341,1.129,6150,704,0.0323,Transit
Kepler-10 b,0.8374907,0.01685,3.24,1.47,0.91,5708,2188,0,Transit
KOI-94 c,10.423648,0.1013,15.6,4.32,1.277,6182,1012,0.43,Transit
Kepler-79 c,27.4029,0.187,5.9,3.72,1.165,6174,NA,0.03,Transit
Kepler-117 b,18.7959228,0.1445,29.875,8.059,1.129,6150,984,0.0493,Transit
Kepler-10 c,45.294301,0.241,11.29,2.355,0.91,5708,579,0.136,Transit
KOI-94 e,54.32031,0.3046,35,6.56,1.277,6182,584,0.019,Transit
Kepler-79 b,13.4845,0.117,10.9,3.47,1.165,6174,NA,0.015,Transit
Kepler-19 b,9.28699,0.0846,6.1,2.209,0.936,5541,851,0.41,Transit
Kepler-454 b,10.5737534,0.09528,5.4,2.37,1.03,5687,916,0.32,Transit
Kepler-103 b,15.9653287,0.133,11.67,3.4857,1.212,6047,NA,0.171,Transit
Kepler-109 b,6.4816307,0.0701,4.9,2.49,1.094,5950,1276,0.11,Transit
Kepler-425 b,3.79701816,0.0464,79.45,10.962,0.93,5170,1070,0.33,Transit
Kepler-49 b,7.2,NA,9.77,2.579,0.607,4095.6,NA,NA,Transit
Kepler-96 b,16.2385,NA,8.46,2.67,1,5690,NA,NA,Transit
KOI-142 b,10.91647,NA,9.5,3.438,0.99,5466,NA,0.05561,Transit
Kepler-433 b,5.33408384,0.0679,896.24,16.25,1.46,6360,1776,0.119,Transit
Kepler-48 b,4.778,NA,3.94,1.88,0.88,5194,NA,NA,Transit
Kepler-7 b,4.8854892,0.06067,140.16303,18.180998,1.359,5933,1630,NA,Transit
KOI-12 b,17.855182,0.154,349.613,13.78707,1.5,NA,NA,0.34,Transit
Kepler-74 b,7.340711,0.0781,200.22,10.76,1.18,6000,1078,0,Transit
Kepler-100 c,12.8159,NA,7.05,2.2,1.08,5825,NA,NA,Transit
Kepler-11 c,13.0241,0.107,2.9,2.87,0.961,5663,NA,0.026,Transit
Kepler-20 c,10.8540774,0.0936,11.1,2.894,0.929,5495,828,0.076,Transit
Kepler-8 b,3.5224991,0.0474,187.5197,15.871944,1.213,6213,1680,NA,Transit
Kepler-412 b,1.7208604,0.02897,299.07803,15.031269,1.167,5750,1850,NA,Transit
Kepler-128 b,15,NA,3.79,1.421,1.184,6072,NA,NA,Transit
Kepler-95 b,11.5231,NA,13,3.42,1.08,5699,NA,NA,Transit
Kepler-77 b,3.57878087,0.04501,136.661,10.761,0.95,5520,1440,0,Transit
Kepler-106 c,13.5708,NA,10.44,2.5,1,5858,NA,NA,Transit
Kepler-18 c,7.64159,0.0752,17.3,5.49,0.972,5345,NA,0,Transit
Kepler-44 b,3.2467293,0.0446,317.82,12.22,1.12,5800,1544,0.066,Transit
Kepler-41 b,1.8555582,0.03101,177.98,14.46,1.15,5750,1790,0,Transit
Kepler-105 b,5.4122034,NA,10.8,2.53,0.991,5933,NA,0.02,Transit
Kepler-422 b,7.8914483,0.082,136.66,12.89,1.15,5972,NA,NA,Transit
Kepler-423 b,2.6843285,0.03585,189.101,13.361,0.85,5560,1605,0.019,Transit
Kepler-26 b,12.28,NA,5.12,2.78,0.544,3914,NA,NA,Transit
Kepler-43 b,3.0240949,0.046,1026.5909,13.663771,1.32,6041,1620,NA,Transit
KOI-13 b,1.763588,0.03641,2949.4624,16.948008,1.72,7650,2550,6.4e-4,Transit
Kepler-102 e,16.1456994,0.1162,4.7,2.17,0.803,4909,590,0.089,Transit
Kepler-14 b,6.790123,NA,2669.66,12.733,1.512,6395,NA,0.035,Transit
Kepler-94 b,2.50806,NA,10.84,3.51,0.81,4781,NA,NA,Transit
Kepler-17 b,1.4857108,0.02591,778.65,14.68,1.04,5781,1570,0.011,Transit
Kepler-107 e,14.749143,0.12638,14.1,2.903,1.238,5854,955,0.1,Transit
Kepler-424 b,3.3118644,0.044,327.35,9.98,1.01,5460,NA,NA,Transit
Kepler-68 b,5.39875259,0.06135,8.03,2.357,1.057,5847,1275,0.09,Transit
Kepler-15 b,4.942782,0.05714,209.76,10.76,1.018,5515,NA,0.06,Transit
Kepler-426 b,3.21751883,0.0414,108.06,12.22,0.91,5725,1300,0.18,Transit
Kepler-63 b,9.4341505,0.08,120,6.11,0.984,5576,NA,0.45,Transit
Kepler-4 b,3.21346,0.0456,24.472,4.002,1.223,5857,1650,0,Transit
Kepler-109 c,21.22265,0.1546,8.2,2.65,1.094,5950,859,0.098,Transit
Kepler-49 c,10.91,NA,8.38,2.444,0.607,4095.6,NA,0.008,Transit
Kepler-48 c,9.67395,NA,14.61,2.71,0.88,5194,NA,NA,Transit
Kepler-11 d,22.6845,0.155,7.3,3.12,0.961,5663,NA,0.004,Transit
Kepler-20 b,3.6961049,0.04565,9.7,1.773,0.929,5495,1187,0.083,Transit
Kepler-105 c,7.12592,NA,5.6,1.44,0.991,5933,NA,0.02,Transit
Kepler-26 c,17.2559,NA,6.2,2.72,0.544,3914,NA,NA,Transit
Kepler-102 d,10.311767,0.08618,3,1.154,0.803,4909,686,0.092,Transit
Kepler-107 c,4.901452,0.06064,10,1.597,1.238,5854,1378,0.08,Transit
Kepler-11 e,31.9996,0.195,8,4.19,0.961,5663,NA,0.012,Transit
Kepler-107 b,3.1800218,0.04544,3.8,1.536,1.238,5854,1592,0.1,Transit
Kepler-25 c,12.7207,NA,15.2,5.217,1.165,NA,NA,0.0061,Transit
Kepler-37 d,39.7922622,0.2109,2,2.03,0.79,5357,499,0.1,Transit
Kepler-25 b,6.238297,NA,8.7,2.748,1.165,NA,NA,0.0029,Transit
Kepler-93 b,4.72673978,0.05343,4.66,1.478,0.911,5669,1133,0,Transit
Kepler-45 b,2.455239,0.03,160.497,10.76,0.59,3820,1000,0.11,Transit
Kepler-427 b,10.290994,0.091,92.17,13.79,0.96,5800,1100,0.57,Transit
Kepler-114 c,8.041,NA,2.8,1.6,0.56,NA,NA,NA,Transit
TrES-2 b,2.47063,NA,473.5667,15.24424,1.36,5850,NA,0,Transit
Kepler-23 c,10.74,NA,7.81,3.005,1.078,5828,NA,0.021,Transit
Kepler-12 b,4.4379629,0.0553,137.30256,19.660586,1.166,5947,1480,NA,Transit
Kepler-113 c,8.92507,NA,8.7,2.18,0.75,4725,NA,NA,Transit
Kepler-18 d,14.85888,0.1172,16.4,6.98,0.972,5345,NA,0,Transit
Kepler-113 b,4.754,NA,11.7,1.82,0.75,4725,NA,NA,Transit
Kepler-48 d,42.8961,NA,7.93,2.04,0.88,5194,NA,NA,Transit
Kepler-114 d,11.776,NA,3.9,2.53,0.56,NA,NA,NA,Transit
Kepler-103 c,179.60978,0.6679,58.47,5.4539,1.212,6047,NA,0.103,Transit
Kepler-129 b,15.79,0.13,20,2.4,1.178,5770,NA,NA,Transit
Kepler-36 c,16.21865,NA,7.13,3.679,1.034,5979,NA,0,Transit
Kepler-98 b,1.54168,NA,3.55,1.99,0.99,5539,NA,NA,Transit
Kepler-1655 b,11.8728787,0.1029,5.4,2.213,1.03,6148,938,0.19,Transit
Kepler-131 b,16.092,NA,16.13,2.41,1.02,5685,NA,NA,Transit
Kepler-99 b,4.60358,NA,6.15,1.48,0.79,4782,NA,NA,Transit
Kepler-406 b,2.42629,NA,6.35,1.43,1.07,5538,NA,NA,Transit
Kepler-97 b,2.58664,NA,3.51,1.48,0.94,5779,NA,NA,Transit
Kepler-92 b,13.749,NA,64.3,3.51,1.21,NA,NA,NA,Transit
Kepler-138 c,13.7815,0.0913,2.3,1.51,0.535,3841,410,0.017,Transit
Kepler-462 c,207.62,NA,6,4,1.59,7500,NA,0.11,Transit
Kepler-414 c,7.171,NA,29.9,3.01,0.89,NA,NA,NA,Transit Timing Variations
