country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption_perception,population_millions,unemployment_rate
Afghanistan,South Asia,3.24,7.71,0.017,64.1,0.554,0.053,0.212,7.7,14.2
Albania,Eastern Europe,4.16,7.75,0.338,63.7,0.553,-0.006,0.268,17.8,10.0
Angola,Sub-Saharan Africa,3.53,7.32,0.319,62.1,0.334,0.056,0.249,110.7,13.5
Argentina,South America,3.31,7.21,0.464,59.7,0.298,0.007,0.297,5.6,5.0
Australia,Oceania,5.74,7.01,0.65,64.7,0.629,0.271,0.583,11.1,13.8
Austria,Western Europe,6.43,8.48,0.577,66.6,0.79,0.011,0.393,3.7,2.0
Bahrain,Middle East,2.21,9.2,0.108,63.6,0.0,0.174,0.279,19.9,20.7
Bangladesh,South Asia,2.0,7.04,0.0,56.2,0.522,0.153,0.175,3.1,10.0
Belarus,Eastern Europe,6.4,8.65,0.662,66.3,0.569,-0.052,0.551,2.6,4.0
Belize,Central America,2.8,6.46,0.249,56.6,0.534,0.019,0.385,0.2,17.6
Benin,Sub-Saharan Africa,2.83,6.16,0.071,56.9,0.437,0.073,0.07,93.0,5.2
Bhutan,South Asia,3.17,6.81,0.33,60.0,0.372,0.241,0.658,0.1,11.7
Bolivia,South America,3.69,7.56,0.099,61.5,0.595,0.355,0.12,0.3,14.0
Bosnia and Herzegovina,Eastern Europe,4.08,7.55,0.314,63.5,0.664,-0.095,0.405,0.9,10.7
Botswana,Sub-Saharan Africa,4.41,7.52,0.245,62.4,0.444,0.124,0.442,4.0,8.1
Brazil,South America,4.09,7.81,0.216,64.5,0.467,-0.012,0.539,215.0,12.4
Brunei,Southeast Asia,7.89,8.98,0.425,75.5,1.0,0.065,0.585,0.7,3.2
Bulgaria,Eastern Europe,4.29,6.0,0.476,59.7,0.521,-0.148,0.719,788.3,8.1
Burkina Faso,Sub-Saharan Africa,3.55,6.0,0.302,60.5,0.272,-0.043,0.466,97.3,8.5
Cambodia,Southeast Asia,2.84,6.59,0.429,54.0,0.444,0.108,0.443,1.7,17.3
Cameroon,Sub-Saharan Africa,3.19,7.98,0.077,60.3,0.635,0.009,0.335,6.6,13.4
Canada,North America,4.51,7.89,0.524,63.6,0.312,0.054,0.101,2.1,8.7
Central African Republic,Sub-Saharan Africa,3.86,7.52,0.392,65.0,0.217,0.172,0.497,6.4,11.9
Chad,Sub-Saharan Africa,2.7,6.0,0.086,57.9,0.545,0.114,0.184,6.3,6.6
Chile,South America,5.61,9.34,0.423,68.9,0.149,-0.024,0.36,2.1,3.9
China,East Asia,5.04,8.77,0.366,68.5,0.47,0.039,0.481,1400.0,8.7
Colombia,South America,5.46,7.93,0.476,68.0,0.433,-0.005,0.45,3.6,7.3
Congo,Sub-Saharan Africa,6.11,7.13,0.362,60.4,0.753,0.154,0.251,1.8,2.5
Congo (DRC),Sub-Saharan Africa,4.64,7.38,0.152,66.1,0.661,0.089,0.161,0.8,11.6
Costa Rica,Central America,5.42,8.7,0.39,68.5,0.476,0.015,0.58,9.2,11.1
Croatia,Eastern Europe,6.22,8.57,0.528,67.8,0.385,0.175,0.491,4.2,2.0
Cyprus,Western Europe,8.14,9.66,0.836,72.9,0.663,0.021,0.665,3.3,2.0
Czech Republic,Eastern Europe,6.28,7.0,0.649,59.9,0.745,0.16,0.254,11.7,2.0
Denmark,Western Europe,5.76,9.68,0.429,68.8,0.482,-0.089,0.524,174.1,3.8
Dominican Republic,Central America,4.64,6.07,0.31,63.7,0.719,0.188,0.309,448.1,3.0
East Timor,Southeast Asia,4.14,8.39,0.339,67.7,0.316,0.112,0.036,0.2,13.5
Ecuador,South America,5.32,7.34,0.519,63.4,0.737,0.188,0.184,1.1,12.5
El Salvador,Central America,3.24,7.11,0.44,58.1,0.349,0.084,0.265,0.6,17.3
Fiji,Oceania,6.45,8.19,0.65,66.0,0.646,-0.149,0.447,9.8,2.0
Finland,Western Europe,7.7,10.24,0.889,73.3,0.395,0.172,0.548,2.8,6.2
France,Western Europe,6.8,8.59,0.721,68.7,0.543,0.162,0.835,1.5,5.9
Gabon,Sub-Saharan Africa,3.84,6.35,0.389,60.0,0.619,0.089,0.459,1400.0,8.9
Germany,Western Europe,6.78,9.6,0.812,71.4,0.518,0.229,0.481,13.1,4.9
Ghana,Sub-Saharan Africa,3.65,7.19,0.153,63.2,0.287,0.035,0.0,4.9,9.4
Greece,Western Europe,4.68,7.74,0.529,65.1,0.358,0.374,0.115,0.3,9.7
Guatemala,Central America,5.01,7.27,0.425,66.1,0.335,-0.069,0.663,180.6,2.0
Guinea,Sub-Saharan Africa,3.5,7.28,0.0,60.9,0.519,0.212,0.151,10.6,10.2
Guinea-Bissau,Sub-Saharan Africa,2.0,6.0,0.0,56.0,0.312,0.153,0.126,0.2,14.6
Guyana,South America,3.64,7.86,0.342,60.5,0.413,-0.043,0.476,238.8,11.9
Haiti,Central America,5.04,6.72,0.369,64.9,0.555,0.269,0.301,0.2,2.0
Honduras,Central America,3.31,7.65,0.147,60.4,0.54,-0.092,0.249,15.9,15.7
Hungary,Eastern Europe,3.35,9.26,0.261,71.0,0.249,-0.077,0.0,2.4,15.0
Iceland,Western Europe,9.68,8.76,0.801,76.4,0.824,-0.077,0.375,101.6,2.0
India,South Asia,3.86,7.39,0.23,62.0,0.393,0.15,0.546,1420.0,14.5
Indonesia,Southeast Asia,4.27,6.23,0.379,61.0,0.485,-0.053,0.419,270.0,5.3
Iran,Middle East,3.74,8.66,0.236,63.8,0.374,0.256,0.335,0.1,9.7
Iraq,Middle East,6.52,8.75,0.411,71.7,0.701,0.004,0.565,0.9,5.7
Ireland,Western Europe,8.53,8.09,0.65,68.6,0.625,0.124,0.79,0.5,2.0
Israel,Middle East,6.41,8.9,0.679,69.5,0.746,0.03,0.794,23.3,10.6
Italy,Western Europe,7.22,9.37,0.711,73.6,0.432,0.243,0.348,0.7,2.5
Ivory Coast,Sub-Saharan Africa,3.46,6.34,0.248,59.1,0.613,-0.004,0.26,2.9,15.3
Jamaica,Central America,4.4,8.11,0.389,67.1,0.441,-0.008,0.534,0.1,9.1
Japan,East Asia,2.83,6.95,0.457,59.8,0.724,0.081,0.219,3.2,17.8
Jordan,Middle East,5.24,9.52,0.328,69.0,0.762,-0.075,0.336,0.6,15.5
Kenya,Sub-Saharan Africa,2.53,6.0,0.264,56.9,0.388,0.017,0.635,4.7,7.9
Kiribati,Oceania,7.61,9.02,0.831,71.0,0.574,-0.205,0.543,0.3,4.3
Kosovo,Eastern Europe,7.32,6.36,0.815,63.4,0.637,-0.067,0.611,15.8,2.0
Kuwait,Middle East,4.45,8.51,0.461,66.4,0.421,0.264,0.497,19.0,12.7
Laos,Southeast Asia,3.73,6.0,0.365,58.0,0.474,-0.026,0.037,7.4,5.0
Latvia,Eastern Europe,6.88,8.41,0.621,69.4,0.476,0.24,0.271,10.4,5.3
Lebanon,Middle East,5.77,7.81,0.298,72.0,0.674,0.132,0.436,5.4,3.3
Liberia,Sub-Saharan Africa,3.17,6.97,0.117,60.7,0.355,0.168,0.291,0.5,6.3
Lithuania,Eastern Europe,5.43,7.09,0.686,65.1,0.41,-0.073,0.714,5.7,10.4
Luxembourg,Western Europe,5.8,9.19,0.472,70.7,0.418,-0.109,0.474,15.1,10.1
Macau,East Asia,5.62,9.65,0.679,70.5,0.496,-0.157,0.332,1.8,10.4
Malawi,Sub-Saharan Africa,3.23,6.38,0.06,57.4,0.343,0.038,0.33,0.6,3.1
Malaysia,Southeast Asia,6.46,7.32,0.634,67.0,0.375,0.244,0.515,276.9,4.7
