"customers","revenue"
61,114.3
45,84.06
102,187.41
25,52.05
31,53.38
82,153.52
94,180.52
68,129.82
49,97.1
27,54.07
51,95.49
21,42.71
102,183.44
46,91.03
94,173.49
92,166.24
97,175.82
109,212.54
29,64.4
81,159.88
26,57.34
72,129.14
25,51.78
33,69.88
34,67.2
24,53.56
36,63.73
99,186.87
92,161.64
40,67.3
103,198.87
30,67.71
88,165.57
75,140.73
91,159.42
42,81.26
36,73.98
45,90.41
62,123.35
83,154.16
64,126.27
116,210.05
119,220.63
37,80.2
25,48.39
69,141.75
33,66.77
74,130.09
92,157.02
30,60.4
46,91.15
32,69.95
81,153.5
48,101.27
116,226.55
116,213.53
59,112.79
48,83.05
100,188.26
41,72.53
