sale_price,living_area,overall_qual,year_built,total_bsmt_sf,garage_area,lot_area,full_bath,bedrooms,fireplaces,total_rooms,year_remod
215,1656,6,1960,1080,528,31770,1,3,2,7,1960
105,896,5,1961,882,730,11622,1,2,0,5,1961
172,1329,6,1958,1329,312,14267,1,3,0,6,1958
244,2110,7,1968,2110,522,11160,2,3,2,8,1968
189.9,1629,5,1997,928,482,13830,2,3,1,6,1998
195.5,1604,6,1998,926,470,9978,2,3,1,7,1998
213.5,1338,8,2001,1338,582,4920,2,2,0,6,2001
191.5,1280,8,1992,1280,506,5005,2,2,0,5,1992
236.5,1616,8,1995,1595,608,5389,2,2,1,5,1996
189,1804,7,1999,994,442,7500,2,3,1,7,1999
175.9,1655,6,1993,763,440,10000,2,3,1,7,1994
185,1187,6,1992,1168,420,7980,2,3,0,6,2007
180.4,1465,6,1998,789,393,8402,2,3,1,7,1998
171.5,1341,7,1990,1300,506,10176,1,2,1,5,1990
212,1502,8,1985,1488,528,6820,1,1,0,4,1985
538,3279,8,2003,1650,841,53504,3,4,1,12,2003
164,1752,8,1988,559,492,12134,2,4,0,8,2005
394.432,1856,9,2010,1856,834,11394,1,1,1,8,2010
141,864,4,1951,864,400,19138,1,2,0,4,1951
210,2073,6,1978,1542,500,13175,2,3,2,7,1988
190,1844,6,1977,1844,546,11751,2,3,1,7,1977
170,1173,7,1974,1053,528,10625,2,3,2,6,1974
216,1674,7,2000,814,663,7500,2,3,0,7,2000
149,1004,6,1970,1004,480,11241,1,2,1,5,1970
149.9,1078,5,1971,1078,500,12537,1,3,1,6,2008
142,1056,5,1968,1056,304,8450,1,3,1,6,1968
126,882,4,1970,882,525,8400,1,2,0,4,1970
115,864,4,1971,864,0,10500,1,3,1,5,1971
184,1337,7,1999,1405,511,5858,2,2,1,5,1999
96,987,6,1971,483,264,1680,1,2,0,5,1971
105.5,1092,5,1971,525,320,1680,1,3,0,6,1971
88,1092,6,1971,525,264,1680,1,3,0,6,1971
127.5,1069,6,1977,1069,440,4043,2,2,1,4,1977
149.9,1456,6,1975,855,440,2280,2,3,1,6,1975
120,836,7,1975,836,308,2280,1,2,0,4,1975
146,1456,6,1978,855,440,2280,2,3,1,7,1978
376.162,2334,9,2009,1590,751,12858,2,3,1,10,2010
306,1704,8,2007,1704,772,11478,2,3,1,7,2008
395.192,1940,9,2009,1930,606,10159,2,3,1,8,2010
290.941,1544,8,2009,1544,868,12883,2,3,0,7,2010
220,1541,7,2005,1541,532,12182,2,3,1,7,2005
275,1698,9,2005,1698,730,11520,2,3,1,7,2005
259,1822,8,2005,1822,678,14122,2,3,1,8,2006
214,1535,7,2004,1517,532,10171,2,3,0,7,2004
611.657,2364,9,2009,2330,820,12919,2,2,2,11,2010
224,1358,7,2009,1358,484,6371,2,2,1,6,2010
500,2696,9,2003,2846,958,14300,2,3,2,10,2004
